topic,before,after
world,0.45,0.55
committee,0.2,0.25
call,-0.1,0.25
day,0.15,0.2
White,0,0.2
news,-0.05,0.75
House,-0.025,0.075
President,0,0.1
Donald,0.075,0.1
American,-0.1,0
time,-0.125,0.075
media,-0.15,-0.075
Pelosi,-0.175,-0.15
whistleblower,-0.175,-0.075
impeachment,-0.175,-0.1
Democrats,-0.2,-0.175
Democratic,-0.2,-0.15
Joe,-0.2,-0.2
people,-0.275,-0.1
political,-0.275,0.175
Dems,-0.275,-0.175
Adam,-0.35,-0.225
Schiff,-0.375,-0.25
Ukraine,-0.375,-0.025
Hannity,-0.4,-0.1
support,0.4,0.55
United,0.175,0.35
week,0.15,0.35
watch,-0.175,0.075
Greta,-0.5,0.05
national,0.05,0.425
country,0.025,0.1
live,0.025,0.3
vote,0.025,0.375
Potus,0.025,0.275
Trump,-0.025,0.075
Americans,-0.1,0.125
Biden,-0.225,-0.125
Rep,-0.225,-0.2
election,-0.275,-0.225