state_code,bachelorsOrHigher
AL,1092
AK,619.1
AZ,284.2
AR,1113.1
CA,1480.0999999999995
CO,1887.7000000000003
CT,279
DE,79.1
DC,53.4
FL,1355.1
GA,2693.499999999999
HI,154.2
ID,898.4999999999999
IL,1997.8999999999992
IN,1640.0999999999997
IA,1991.7000000000005
KS,2250.1000000000013
KY,1788.0000000000002
LA,1010.6
ME,410.4
MD,717.1
MA,534.1999999999999
MI,1657.1999999999996
MN,1912.9
MS,1345.1999999999996
MO,1947.8000000000009
MT,1254.8000000000004
NE,1883.6
NV,289.6
NH,315.29999999999995
NJ,717.5
NM,685.4000000000001
NY,1621.9999999999993
NC,2002.200000000001
ND,1091.0999999999997
OH,1630.9000000000008
OK,1415.8999999999999
OR,814.2000000000002
PA,1428.4000000000005
RI,188.7
SC,871.8000000000002
SD,1452
TN,1500.9000000000005
TX,4561.600000000002
UT,693.9000000000001
VT,435.8
VA,3259.5
WA,935.3000000000001
WV,828.0999999999998
WI,1536.8999999999996
WY,552.2