date,poor,very poor,crop,year
1986-05-25,3,0,corn,1986
1986-06-01,4,1,corn,1986
1986-06-08,2,0,corn,1986
1986-06-15,2,0,corn,1986
1986-06-22,2,0,corn,1986
1986-06-29,3,0,corn,1986
1986-07-06,4,0,corn,1986
1986-07-13,3,1,corn,1986
1986-07-20,3,1,corn,1986
1986-07-27,3,1,corn,1986
1986-08-03,2,2,corn,1986
1986-08-10,3,2,corn,1986
1986-08-17,2,2,corn,1986
1986-08-24,2,1,corn,1986
1986-08-31,2,1,corn,1986
1986-09-07,3,1,corn,1986
1986-09-14,3,1,corn,1986
1986-09-21,3,1,corn,1986
1986-09-28,3,1,corn,1986
1987-05-24,4,0,corn,1987
1987-05-31,1,0,corn,1987
1987-06-07,1,0,corn,1987
1987-06-14,1,0,corn,1987
1987-06-21,2,0,corn,1987
1987-06-28,1,0,corn,1987
1987-07-05,2,0,corn,1987
1987-07-12,2,0,corn,1987
1987-07-19,1,0,corn,1987
1987-07-26,3,1,corn,1987
1987-08-02,3,1,corn,1987
1987-08-09,4,1,corn,1987
1987-08-16,3,1,corn,1987
1987-08-23,3,1,corn,1987
1987-08-30,3,1,corn,1987
1987-09-06,3,1,corn,1987
1987-09-13,3,1,corn,1987
1987-09-20,3,1,corn,1987
1987-09-27,3,1,corn,1987
1987-10-04,3,1,corn,1987
1987-10-11,3,1,corn,1987